municipal,activity,el_con_per,el_exp_per,ng_con_per,ng_exp_per,fo_con_per,fo_exp_per,emps,estabs,el_con_pu,el_con_MMBTU,el_exp_$_pu,el_exp_$_MMBTU,el_emissions,ng_con_pu,ng_con_MMBTU,ng_exp_$_pu,ng_exp_$_MMBTU,ng_emissions,fo_con_pu,fo_con_MMBTU,fo_exp_$_pu,fo_exp_$_MMBTU,fo_emissions,total_cons_MMBTU
Essex,Service ,9.3,0.11,43.6,8.0,219.8,3.33,44.0,6.0,409200.00000000006,1396.1904000000002,45012.00000000001,13192262.602579134,338817.60000000003,1127.913043478261,112.7913043478261,9023.304347826088,90233.04347826088,132078.61739130437,821.8608695652174,114.23866086956522,2736.796695652174,19689.184860807007,18393.246260869564,1623.2203652173914
Essex,Warehouse and storage ,13.2,0.10099999999999999,34.0,8.3,50.5,3.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucester,Education,12.3,0.096,33.1,7.8,123.6,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucester,Food sales ,52.0,0.094,63.6,8.1,82.80833333333332,3.3506666666666667,834.0,30.0,43368000.0,147971.616,4076592.0,1194780773.739742,35908704.0,24573.315254237288,2457.331525423729,199043.85355932201,1990438.53559322,2877535.2162711867,0.0,0.0,0.0,0.0,0.0,150428.94752542375
Gloucester,Food service ,23.8,0.099,80.8,7.7,82.80833333333332,3.3506666666666667,1194.0,86.0,28417200.0,96959.48640000001,2813302.8000000003,824531887.4560375,23529441.599999998,71848.63578947369,7184.863578947369,553234.4955789474,5532344.955789473,8413475.25094737,0.0,0.0,0.0,0.0,0.0,104144.34997894737
Gloucester,Health care Outpatient,10.0,0.094,21.3,8.4,82.80833333333332,3.24,381.0,46.0,3810000.0,12999.720000000001,358140.0,104964830.01172332,3154680.0,4910.531847133758,491.0531847133758,41248.46751592357,412484.67515923566,575023.279299363,4621.97085987261,642.4539495222929,14975.185585987258,107735.14810062775,103439.70784394901,14133.227134235669
Gloucester,Lodging ,29.1,0.095,83.7,7.6,49.6,3.34,338.0,17.0,9835800.000000002,33559.74960000001,934401.0000000002,273857268.4642439,8144042.400000001,22632.480000000003,2263.2480000000005,172006.84800000003,1720068.4800000002,2650263.4080000008,15088.32,2097.27648,50394.9888,362553.87625899276,337676.6016,37920.27408000001
Gloucester,Mercantile Retail (other than mall) ,20.5,0.099,30.7,8.4,82.80833333333332,3.55,510.0,57.0,10455000.0,35672.46,1035045.0,303354337.63188744,8656740.0,9266.387755102041,926.6387755102041,77837.65714285715,778376.5714285715,1085094.0061224492,4309.4132653061215,599.0084438775509,15298.41709183673,110060.55461753043,96444.668877551,37198.107219387755
Gloucester,Mercantile Enclosed and strip malls,24.4,0.096,49.1,8.4,82.80833333333332,3.38,146.0,20.0,3562399.9999999995,12154.9088,341990.39999999997,100231652.989449,2949667.1999999993,4491.717721518988,449.1717721518988,37730.4288607595,377304.28860759496,525980.1451898735,2142.5345991561176,297.81230928270037,7241.766945147677,52099.042770846594,47949.92432911391,12901.892881434598
Gloucester,Office ,7.5,0.10400000000000001,12.4,8.4,10.9,3.42,2344.0,341.0,17580000.0,59982.96,1828320.0000000002,535849941.38335294,14556240.0,17188.295016611297,1718.8295016611298,144381.6781395349,1443816.781395349,2012749.346445183,1867.4126245847178,259.5703548172758,6386.551176079734,45946.411338703125,41792.694538205986,61961.359856478404
Gloucester,Public assembly ,25.9,0.098,60.4,8.1,49.5,3.34,290.0,35.0,7511000.0,25627.532,736078.0,215732121.92262602,6219108.0,9277.881278538813,927.7881278538813,75150.83835616439,751508.3835616438,1086439.897716895,1212.6369863013697,168.5565410958904,4050.2075342465746,29138.18369961564,27138.815753424653,26723.87666894977
Gloucester,Religious worship ,12.2,0.106,67.8,8.2,238.1,3.44,270.0,23.0,3294000.0,11239.128,349164.0,102334114.88862836,2727432.0,13841.121951219513,1384.1121951219513,113497.2,1134972.0,1620795.380487805,2743.957317073171,381.4100670731708,9439.213170731708,67908.00842253027,61409.76475609757,13004.650262195124
Gloucester,Service ,9.3,0.11,43.6,8.0,219.8,3.33,335.0,73.0,3115500.0000000005,10630.086000000001,342705.00000000006,100441090.26963659,2579634.0000000005,8587.51976284585,858.751976284585,68700.1581027668,687001.581027668,1005598.5642292491,6257.349802371541,869.7716225296443,20836.97484189723,149906.29382659876,140039.48857707507,12358.609598814232
Gloucester,Warehouse and storage ,13.2,0.10099999999999999,34.0,8.3,50.5,3.37,322.0,37.0,4250400.0,14502.364800000001,429290.39999999997,125817819.46072683,3519331.1999999997,6375.965909090909,637.596590909091,52920.51704545455,529205.1704545455,746625.6079545455,1247.2926136363637,173.37367329545458,4203.376107954546,30240.115884565075,27914.40869318182,15313.335064204546
Rockport,Education,12.3,0.096,33.1,7.8,123.6,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rockport,Food sales ,52.0,0.094,63.6,8.1,82.80833333333332,3.3506666666666667,24.0,5.0,1248000.0,4258.176,117312.0,34382180.53927315,1033344.0,707.1457627118644,70.71457627118644,5727.880677966102,57278.80677966101,82806.76881355933,0.0,0.0,0.0,0.0,0.0,4328.890576271187
Rockport,Food service ,23.8,0.099,80.8,7.7,82.80833333333332,3.3506666666666667,180.0,21.0,4284000.0,14617.008,424116.0,124301289.56623681,3547152.0,10831.452631578946,1083.1452631578948,83402.1852631579,834021.8526315789,1268363.1031578947,0.0,0.0,0.0,0.0,0.0,15700.153263157894
Rockport,Health care Outpatient,10.0,0.094,21.3,8.4,82.80833333333332,3.24,18.0,6.0,180000.0,614.16,16920.0,4958968.347010551,149040.0,231.99363057324842,23.199363057324845,1948.746496815287,19487.464968152868,27166.454140127393,218.36082802547767,30.3521550955414,707.4890828025477,5089.849516565091,4886.91533121019,667.7115181528662
Rockport,Lodging ,29.1,0.095,83.7,7.6,49.6,3.34,91.0,15.0,2648100.0,9035.3172,251569.5,73730803.04806565,2192626.8,6093.360000000001,609.3360000000001,46309.536,463095.36,713532.4560000001,4062.2400000000002,564.6513600000001,13567.8816,97610.65899280575,90912.9312,10209.304559999999
Rockport,Mercantile Retail (other than mall) ,20.5,0.099,30.7,8.4,82.80833333333332,3.55,20.0,13.0,410000.0,1398.92,40590.0,11896248.534583822,339480.0,363.3877551020408,36.33877551020408,3052.4571428571426,30524.571428571424,42552.70612244898,168.99659863945578,23.490527210884355,599.937925170068,4316.100181079625,3782.14387755102,1458.7493027210887
Rockport,Mercantile Enclosed and strip malls,24.4,0.096,49.1,8.4,82.80833333333332,3.38,24.0,11.0,585599.9999999999,1998.0671999999997,56217.59999999999,16476436.107854627,484876.7999999999,738.3645569620254,73.83645569620255,6202.262278481014,62022.62278481013,86462.48962025318,352.1974683544303,48.95544810126582,1190.4274430379744,8564.22620890629,7882.17934177215,2120.8591037974684
Rockport,Office ,7.5,0.10400000000000001,12.4,8.4,10.9,3.42,108.0,45.0,810000.0,2763.7200000000003,84240.00000000001,24689331.770222746,670680.0,791.9521594684386,79.19521594684386,6652.398139534885,66523.98139534885,92737.59787375416,86.04119601328905,11.959726245847179,294.2608903654486,2116.9848227730113,1925.601966777409,2854.8749421926914
Rockport,Public assembly ,25.9,0.098,60.4,8.1,49.5,3.34,13.0,3.0,336700.0,1148.8204,32996.6,9670750.293083236,278787.6,415.9050228310502,41.590502283105025,3368.8306849315063,33688.306849315064,48702.47817351598,54.35958904109589,7.555982876712329,181.56102739726026,1306.1944417069083,1216.567602739726,1197.9668851598174
Rockport,Religious worship ,12.2,0.106,67.8,8.2,238.1,3.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rockport,Service ,9.3,0.11,43.6,8.0,219.8,3.33,25.0,8.0,232500.00000000003,793.2900000000001,25575.000000000004,7495603.751465417,192510.0,640.8596837944665,64.08596837944665,5126.877470355732,51268.77470355732,75044.66897233203,466.9664031620553,64.9083300395257,1554.9981225296442,11187.036852731253,10450.708102766797,922.2842984189724
Rockport,Warehouse and storage ,13.2,0.10099999999999999,34.0,8.3,50.5,3.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
