group,axis,value,ng_con_per,consump,ng_exp_per,fo_con_per,fo_exp_per,emps,estabs,el_con_pu,el_con_MMBTU,el_exp_$_pu,el_exp_$_MMBTU,el_emissions,ng_con_pu,ng_con_MMBTU,ng_exp_$_pu,ng_exp_$_MMBTU,ng_emissions,fo_con_pu,fo_con_MMBTU,fo_exp_$_pu,fo_exp_$_MMBTU,fo_emissions,total_cons_MMBTU
Rockport,Food service ,0.8,80.8,0.808,7.7,82.80833333,3.350666667,180,21,4284000,14617.008,424116,124301289.6,3547152,10831.45263,1083.145263,83402.18526,834021.8526,1268363.103,0,0,0,0,0,15700.15326
Rockport,Health care Outpatient,0.2,21.3,0.213,8.4,82.80833333,3.24,18,6,180000,614.16,16920,4958968.347,149040,231.9936306,23.19936306,1948.746497,19487.46497,27166.45414,218.360828,30.3521551,707.4890828,5089.849517,4886.915331,667.7115182
Rockport,Lodging ,0.8,83.7,0.837,7.6,49.6,3.34,91,15,2648100,9035.3172,251569.5,73730803.05,2192626.8,6093.36,609.336,46309.536,463095.36,713532.456,4062.24,564.65136,13567.8816,97610.65899,90912.9312,10209.30456
Rockport,Mercantile Retail (other than mall) ,0.3,30.7,0.307,8.4,82.80833333,3.55,20,13,410000,1398.92,40590,11896248.53,339480,363.3877551,36.33877551,3052.457143,30524.57143,42552.70612,168.9965986,23.49052721,599.9379252,4316.100181,3782.143878,1458.749303
Rockport,Mercantile Enclosed and strip malls,0.4,49.1,0.491,8.4,82.80833333,3.38,24,11,585600,1998.0672,56217.6,16476436.11,484876.8,738.364557,73.8364557,6202.262278,62022.62278,86462.48962,352.1974684,48.9554481,1190.427443,8564.226209,7882.179342,2120.859104
Rockport,Office ,0.1,12.4,0.124,8.4,10.9,3.42,108,45,810000,2763.72,84240,24689331.77,670680,791.9521595,79.19521595,6652.39814,66523.9814,92737.59787,86.04119601,11.95972625,294.2608904,2116.984823,1925.601967,2854.874942
Rockport,Public assembly ,0.6,60.4,0.604,8.1,49.5,3.34,13,3,336700,1148.8204,32996.6,9670750.293,278787.6,415.9050228,41.59050228,3368.830685,33688.30685,48702.47817,54.35958904,7.555982877,181.5610274,1306.194442,1216.567603,1197.966885
Rockport,Religious worship ,0.6,67.8,0.678,8.2,238.1,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rockport,Service ,0.4,43.6,0.436,8,219.8,3.33,25,8,232500,793.29,25575,7495603.751,192510,640.8596838,64.08596838,5126.87747,51268.7747,75044.66897,466.9664032,64.90833004,1554.998123,11187.03685,10450.7081,922.2842984
Rockport,Warehouse and storage ,0.3,34,0.34,8.3,50.5,3.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
